NroFactura,IDCliente,Descripcion,Categoria,Cantidad,PrecioUnitario,PrecioTotal,FechaFactura,Ciudad
FAC02563,C0225,Planta Artificial,Decoracion,2,16600.0,33200.0,2023-06-19,Buenos Aires
FAC02563,C0225,Maceta Ceramica,Decoracion,2,12100.0,24200.0,2023-06-19,Buenos Aires
FAC02563,C0225,Perchero Entrada,Decoracion,3,33200.0,99600.0,2023-06-19,Buenos Aires
FAC02651,C0238,Bolsa Regalo Grande,Regaleria,2,3000.0,6000.0,2023-06-27,Buenos Aires
FAC02651,C0238,Mantel Navideno,Decoracion,3,22600.0,67800.0,2023-06-27,Buenos Aires
FAC02817,C0258,Salero Porcelana,Cocina,4,10600.0,42400.0,2023-07-29,Mar del Plata
FAC02817,C0258,Pimentero Porcelana,Cocina,1,10600.0,10600.0,2023-07-29,Mar del Plata
FAC02817,C0258,Salero Porcelana,Cocina,4,10600.0,42400.0,2023-07-29,Mar del Plata
FAC02840,C0260,Bolsa Regalo Grande,Regaleria,2,3000.0,6000.0,2023-08-29,Buenos Aires
FAC02840,C0260,Esencia Rosa,Aromatizacion,2,6000.0,12000.0,2023-08-29,Buenos Aires
FAC02840,C0260,Papel Tissue Colores,Regaleria,2,1500.0,3000.0,2023-08-29,Buenos Aires
FAC02840,C0260,Lazo Decorativo,Regaleria,2,1200.0,2400.0,2023-08-29,Buenos Aires
FAC02359,C0198,Delantal de Cocina,Cocina,3,12800.0,38400.0,2023-09-02,Buenos Aires
FAC02359,C0198,Portavelas Cristal,Velas,4,13600.0,54400.0,2023-09-02,Buenos Aires
FAC03345,C0340,Tabla de Cortar Madera,Cocina,1,18100.0,18100.0,2023-09-12,Buenos Aires
FAC03345,C0340,Set Sal y Pimienta,Cocina,4,19600.0,78400.0,2023-09-12,Buenos Aires
FAC01525,C0072,Esencia Rosa,Aromatizacion,4,6000.0,24000.0,2023-09-15,Córdoba
FAC01525,C0072,Pimentero Porcelana,Cocina,2,10600.0,21200.0,2023-09-15,Córdoba
FAC01525,C0072,Set Velas x3,Velas,4,15100.0,60400.0,2023-09-15,Córdoba
FAC03699,C0388,Pimentero Porcelana,Cocina,2,10600.0,21200.0,2023-09-16,Córdoba
FAC03699,C0388,Taza Ceramica Negra,Cocina,1,8300.0,8300.0,2023-09-16,Córdoba
FAC03699,C0388,Pimentero Porcelana,Cocina,3,10600.0,31800.0,2023-09-16,Córdoba
FAC03699,C0388,Taza Ceramica Negra,Cocina,1,8300.0,8300.0,2023-09-16,Córdoba
FAC03699,C0388,Dispensador Jabon,Bano,3,13600.0,40800.0,2023-09-16,Córdoba
FAC01348,C0049,Difusor Cana,Aromatizacion,3,21100.0,63300.0,2023-09-18,Buenos Aires
FAC01348,C0049,Esencia Jazmin,Aromatizacion,4,6000.0,24000.0,2023-09-18,Buenos Aires
FAC02248,C0176,Espejo Redondo,Decoracion,1,30200.0,30200.0,2023-09-27,Mendoza
